# Base glim

metric,mean,std,median,min,max
rmse_x,8.5596667,5.6388824,9.2456347,2.1927487,16.931947
rmse_y,1.0544543,0.50289996,1.2180408,0.27442981,1.6127912
rmse_z,14.559011,2.2620311,14.241117,11.955776,18.191303
rmse_pos_3d,17.479878,3.628325,17.025901,12.261722,22.291517
mean_abs_pos_err,13.386349,3.1436072,13.57561,9.1030509,17.903402
max_pos_err,35.454378,6.6131627,35.796151,24.974367,42.641752
weighted_mae,4.9584962,1.6942892,4.8121669,2.9785239,7.5543032
traj_len_m,682.03686,4.3315268,679.8301,678.43919,687.27824
error_per_m,0.019612473,0.0045187797,0.019784739,0.013390185,0.026049715
error_pct,1.9612473,0.45187797,1.9784739,1.3390185,2.6049715
gasp,0.89378519,0.24418699,0.90558906,0.57469102,1.2546391
rpe_1m_trans_rmse,0.11534116,0.064893282,0.10076874,0.046564409,0.21776434
rpe_1m_trans_mean,0.034967239,0.0079778654,0.033163941,0.025312351,0.046915844
rpe_1m_trans_std,0.10928626,0.065720837,0.095155097,0.039083616,0.21265045
rpe_1m_trans_max,1.6538839,1.0152367,1.4059012,0.54721838,3.2731753
rpe_10m_trans_rmse,0.18397291,0.11040203,0.13497322,0.12015201,0.38038371
rpe_10m_trans_mean,0.082899007,0.035363009,0.068423383,0.064027815,0.14595367
rpe_10m_trans_std,0.16378495,0.10546759,0.11634436,0.10167076,0.35126812
rpe_10m_trans_max,1.8315306,1.2154656,1.3835892,1.0029605,3.9561248
num_samples,12370.6,206.53644,12268,12145,12595

# Refined GLIM

metric,mean,std,median,min,max
rmse_x,5.5597274,1.0624025,5.6697094,3.8536301,6.726256
rmse_y,1.6605335,0.6931301,1.3736974,1.1687521,2.8703315
rmse_z,0.81435955,0.2924523,0.82983855,0.38948083,1.208657
rmse_pos_3d,5.8986984,1.0560567,6.247675,4.1607262,6.9221729
mean_abs_pos_err,4.3122863,0.74786368,4.4489363,3.053532,4.9757706
max_pos_err,39.593793,60.9811,13.086092,9.1551922,148.6057
weighted_mae,2.1583957,0.31027684,2.2096797,1.6414644,2.436721
traj_len_m,694.02917,17.476226,685.68486,683.60103,724.74885
error_per_m,0.0062149296,0.0010886812,0.006501457,0.0044532587,0.0071923659
error_pct,0.62149296,0.10886812,0.6501457,0.44532587,0.71923659
gasp,0.65049164,0.81734158,0.31442189,0.20536182,2.1101297
rpe_1m_trans_rmse,0.40823211,0.81819554,0.044317262,0.035341574,1.8718467
rpe_1m_trans_mean,0.030075958,0.012898914,0.024887987,0.022527175,0.053073188
rpe_1m_trans_std,0.40189446,0.82131889,0.036668895,0.027231475,1.8710942
rpe_1m_trans_max,30.229574,66.289037,0.58030784,0.54031998,148.81099
rpe_10m_trans_rmse,0.46249551,0.82660941,0.086378675,0.066157396,1.9404783
rpe_10m_trans_mean,0.059135355,0.012125568,0.053394535,0.046191462,0.076630628
rpe_10m_trans_std,0.44748397,0.8341703,0.067916097,0.047361903,1.9389646
rpe_10m_trans_max,30.352638,66.111322,0.81060917,0.52819972,148.61577
num_samples,12490.8,346.75308,12589,12118,12950

# Proposed Method

metric,mean,std,median,min,max
rmse_x,0.09575911,0.009088854,0.094929218,0.084235404,0.1070347
rmse_y,0.10103266,0.011684348,0.10669275,0.08030792,0.10738116
rmse_z,0.042611046,0.0046243993,0.04334221,0.036851714,0.049252209
rmse_pos_3d,0.14588931,0.011282137,0.14931727,0.12637541,0.15353391
mean_abs_pos_err,0.11352932,0.0027042422,0.11310486,0.11116014,0.1178837
max_pos_err,0.85729337,0.12654038,0.8569461,0.66307656,0.97324146
weighted_mae,0.059051368,0.001212654,0.058647615,0.057584852,0.060345116
traj_len_m,683.10602,2.482513,684.13533,679.02868,685.33557
error_per_m,0.00016618914,3.5383424e-06,0.00016532528,0.00016284722,0.00017200873
error_pct,0.016618914,0.00035383424,0.016532528,0.016284722,0.017200873
gasp,0.050793171,0.0080923359,0.052014799,0.038507079,0.060736686
rpe_1m_trans_rmse,0.052561461,0.0075938533,0.054179343,0.041213585,0.061969228
rpe_1m_trans_mean,0.02839209,0.0018956197,0.028675551,0.026045131,0.030654205
rpe_1m_trans_std,0.044145605,0.0079859721,0.045350561,0.031940738,0.053856336
rpe_1m_trans_max,0.67027395,0.10497673,0.64426015,0.57139364,0.8131627
rpe_10m_trans_rmse,0.11203473,0.020443772,0.10480011,0.08680131,0.13549932
rpe_10m_trans_mean,0.07287197,0.002844062,0.073938344,0.068243823,0.075465178
rpe_10m_trans_std,0.084064849,0.025061028,0.075947556,0.053639985,0.11318222
rpe_10m_trans_max,0.76742528,0.20775327,0.79777114,0.50854698,0.97091508
num_samples,12280.2,126.68741,12262,12108,12445
